ENSG	GENE	SCORE
ENSG00000000003	TSPAN6	0.0005098533488308021
ENSG00000000005	TNMD	0.001313771707827982
ENSG00000000419	DPM1	0.0010468086363744078
ENSG00000000457	SCYL3	0.002430332771382382
ENSG00000000460	FIRRM	0.0005543661823139701
ENSG00000000938	FGR	0.0003207777897387132
ENSG00000000971	CFH	0.0007761523279441462
ENSG00000001036	FUCA2	0.00037933678868284915
ENSG00000001084	GCLC	0.00024713170864743006
ENSG00000001167	NFYA	0.001303340298591138
ENSG00000001461	NIPAL3	0.0001755343751028704
ENSG00000001497	LAS1L	0.0022701137252170156
ENSG00000001561	ENPP4	8.466236079129885e-05
ENSG00000001629	ANKIB1	0.00045062839080856065
ENSG00000001630	CYP51A1	0.00024096225456560205
ENSG00000001631	KRIT1	0.0017510383077024017
ENSG00000002016	RAD52	0.0014821975221366301
ENSG00000002330	BAD	0.001532194214178162
ENSG00000002549	LAP3	0.001319895126925985
ENSG00000002586	CD99	0.00040632976742926985
ENSG00000002587	HS3ST1	0.00021559678543781047
ENSG00000002726	AOC1	0.0006184513415519177
ENSG00000002746	HECW1	0.0006028191858149512
ENSG00000002822	MAD1L1	0.014530922882158848
ENSG00000002919	SNX11	0.0010597144921575818
ENSG00000002933	TMEM176A	0.00023434828403878782
ENSG00000003056	M6PR	0.00027529654016689165
ENSG00000003096	KLHL13	0.0006328716938241996
ENSG00000003147	ICA1	0.0011014731667273736
ENSG00000003393	ALS2	0.00042785865980476956
ENSG00000003400	CASP10	0.0004284950846340507
ENSG00000003402	CFLAR	0.0005101722842937306
ENSG00000003436	TFPI	0.0002050956043149199
ENSG00000003509	NDUFAF7	0.0004915475615234755
ENSG00000003756	RBM5	0.0015500496238018968
ENSG00000003987	MTMR7	0.001493450435646082
ENSG00000003989	SLC7A2	0.0010665654253898538
ENSG00000004059	ARF5	0.0006745078931089665
ENSG00000004139	SARM1	0.00034249225996063615
ENSG00000004142	POLDIP2	0.001067969920086398
ENSG00000004399	PLXND1	0.002924490103850985
ENSG00000004455	AK2	0.00046540037214981567
ENSG00000004478	FKBP4	0.0010909226289186336
ENSG00000004534	RBM6	0.001440976260937532
ENSG00000004660	CAMKK1	0.0006529808727009367
ENSG00000004700	RECQL	0.00045967851247041835
ENSG00000004766	VPS50	0.005561459825685233
ENSG00000004776	HSPB6	0.000717300970109136
ENSG00000004779	NDUFAB1	0.0017211305043929315
ENSG00000004799	PDK4	0.0007877467555772455
ENSG00000004838	ZMYND10	0.0026621227034411277
ENSG00000004846	ABCB5	0.0004412692471760238
ENSG00000004848	ARX	0.0006886138482968818
ENSG00000004864	SLC25A13	0.0003985026671671221
ENSG00000004866	ST7	0.0014841277934465325
ENSG00000004897	CDC27	0.0012596915821632138
ENSG00000004939	SLC4A1	0.00019620353657501255
ENSG00000004948	CALCR	0.0003415573139591288
ENSG00000004961	HCCS	0.001208989161568752
ENSG00000005001	PRSS22	0.0003639417905105802
ENSG00000005007	UPF1	0.0006860134799353546
ENSG00000005020	SKAP2	0.0004498621983657358
ENSG00000005022	SLC25A5	0.0004753452064960584
ENSG00000005059	MCUB	0.006637561797788294
ENSG00000005073	HOXA11	0.0006514980948395532
ENSG00000005075	POLR2J	0.0013677811721208855
ENSG00000005100	DHX33	0.00047437923308280006
ENSG00000005102	MEOX1	0.002691364786187478
ENSG00000005108	THSD7A	0.0007321572952605493
ENSG00000005156	LIG3	0.001144537606251106
ENSG00000005175	RPAP3	0.0007151792663080414
ENSG00000005189	REXO5	0.00029754641968793294
ENSG00000005194	CIAPIN1	0.002924294999729682
ENSG00000005206	SPPL2B	0.0005827796021549148
ENSG00000005238	ATOSB	0.016788232382850765
ENSG00000005243	COPZ2	0.0004236966885855509
ENSG00000005249	PRKAR2B	0.002542489690540606
ENSG00000005302	MSL3	0.00027074563945461705
ENSG00000005379	TSPOAP1	0.003310762410364987
ENSG00000005381	MPO	0.003335166674332868
ENSG00000005436	GCFC2	0.0006905978882514319
ENSG00000005448	WDR54	0.019379184790295767
ENSG00000005469	CROT	0.005711577766305709
ENSG00000005471	ABCB4	0.0002669983139185206
ENSG00000005483	KMT2E	0.00038717344330052583
ENSG00000005486	RHBDD2	0.0003998975164449803
ENSG00000005513	SOX8	0.00046514409518749744
ENSG00000005700	IBTK	0.0006012151688992162
